name,color,width,height,rabbet,pcs,ft,condition,img_url,category
M079-3043,Espresso,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/15nkST7j/M079-3043.jpg,Between 2 and 3 inches
M079C-BK109,Black,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/d37BpMbc/M079-C-BK109.jpg,Between 2 and 3 inches
M079C-BR268,Grey,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/WzQnPWVF/M079-C-BR268.jpg,Between 2 and 3 inches
M079C-BR300,Burnt,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/xj7gHCmf/M079-C-BR300.jpg,Between 2 and 3 inches
M079C-IV48,Ivory,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/63bcM61h/M079-C-IV48.jpg,Between 2 and 3 inches
M079E1-MP4,Off White,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/xTwW1RWT/M079-E1-MP4.jpg,Between 2 and 3 inches
M079E1-S4,Silver,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/1zP2pzmk/M079-E1-S4.jpg,Between 2 and 3 inches
M079E2-BR158,Walnut,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/63pPm1Gz/M079-E2-BR158.jpg,Between 2 and 3 inches
M079E2-BR321,Chestnut,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/gJt7FqVp/M079-E2-BR321.jpg,Between 2 and 3 inches
M079E2-BR333,Chestnut -Grain,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/nrsPHj2D/M079-E2-BR333.jpg,Between 2 and 3 inches
M079E3-BK114,Black,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/x8WFqfpF/M079-E3-BK114.jpg,Between 2 and 3 inches
M079R-BR247,Beige,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/YCBsHSWv/M079-R-BR247.jpg,Between 2 and 3 inches
M079R-BR249,Chestnut,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/NMFN49Wz/M079-R-BR249.jpg,Between 2 and 3 inches
M079R-BR251,Espresso,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/ydGLr6KY/M079-R-BR251.jpg,Between 2 and 3 inches
M079R-BR254,Walnut,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/XNGWNppL/M079-R-BR254.jpg,Between 2 and 3 inches
M080-S173,Silver,1  1/2 ,1  1/8 ,  1/2 ,18,171,N/A,https://i.postimg.cc/SQBhnk9h/M080-S173.jpg,Between 1 and 2 inches
M081-BK,Black,2  5/16, 13/16,  9/16,21,199.5,N/A,https://i.postimg.cc/vDF3bPDJ/M081-BK.jpg,Between 2 and 3 inches
M084-5093,Charcoal,2  3/4 ,1,  3/8 ,16,152,N/A,https://i.postimg.cc/1XNvxxR0/M084-5093.jpg,Between 2 and 3 inches
M087-4017,Charcoal,2  5/16,1  1/8 ,  3/8 ,15,142.5,N/A,https://i.postimg.cc/vZzF2nNY/M087-4017.jpg,Between 2 and 3 inches
M087-517,Espresso,2  5/16,1  1/8 ,  3/8 ,15,142.5,N/A,https://i.postimg.cc/Pr1kZ9b8/M087-517.jpg,Between 2 and 3 inches
M087-S151,Silver,2  5/16,1  1/8 ,  3/8 ,15,142.5,N/A,https://i.postimg.cc/SxqbGdV1/M087-S151.jpg,Between 2 and 3 inches
M093-BK120,N/A,3,2,  5/8 ,6,57,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
M093-BR210,Maple,3,2,  5/8 ,6,57,N/A,https://i.postimg.cc/PqVGTjH0/M093-BR210.jpg,Greater than 3 inches
M093-G318,N/A,3,2,  5/8 ,6,57,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
M1003-BK86,N/A,N/A,N/A,N/A,18,171,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
