name,color,width,height,rabbet,pcs,ft,condition,img_url
M079C-IV48,,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M079E1-MP4,Off White,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/xTwW1RWT/M079-E1-MP4.jpg
M079E1-S4,Silver,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/1zP2pzmk/M079-E1-S4.jpg
M079E2-BR158,Walnut,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/63pPm1Gz/M079-E2-BR158.jpg
M079E2-BR321,Chestnut,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/gJt7FqVp/M079-E2-BR321.jpg
M079E2-BR333,Chestnut -Grain,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/nrsPHj2D/M079-E2-BR333.jpg
M079E3-BK114,Black,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/x8WFqfpF/M079-E3-BK114.jpg
M079R-BR247,Beige,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/YCBsHSWv/M079-R-BR247.jpg
M079R-BR249,Chestnut,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/NMFN49Wz/M079-R-BR249.jpg
M079R-BR251,Espresso,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/ydGLr6KY/M079-R-BR251.jpg
M079R-BR254,Walnut,2  7/8 ,  3/4 ,  3/8 ,16,152,N/A,https://i.postimg.cc/XNGWNppL/M079-R-BR254.jpg
M080-S173,Silver,1  1/2 ,1  1/8 ,  1/2 ,18,171,N/A,https://i.postimg.cc/SQBhnk9h/M080-S173.jpg
M081-BK,Black,2  5/16, 13/16,  9/16,21,199.5,N/A,https://i.postimg.cc/vDF3bPDJ/M081-BK.jpg
M084-5093,Charcoal,2  3/4 ,1,  3/8 ,16,152,N/A,https://i.postimg.cc/1XNvxxR0/M084-5093.jpg
M087-4017,Charcoal,2  5/16,1  1/8 ,  3/8 ,15,142.5,N/A,https://i.postimg.cc/vZzF2nNY/M087-4017.jpg
M087-517,Espresso,2  5/16,1  1/8 ,  3/8 ,15,142.5,N/A,https://i.postimg.cc/Pr1kZ9b8/M087-517.jpg
M087-S151,Silver,2  5/16,1  1/8 ,  3/8 ,15,142.5,N/A,https://i.postimg.cc/SxqbGdV1/M087-S151.jpg
M093-BK120,,3,2,  5/8 ,6,57,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M093-BR210,,3,2,  5/8 ,6,57,N/A,https://i.postimg.cc/PqVGTjH0/M093-BR210.jpg
M093-G318,,3,2,  5/8 ,6,57,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M1003-BK86,,N/A,N/A,N/A,18,171,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M108-BRK,Black/Burgundy,2  1/16,1  3/16,  1/2 ,15,142.5,N/A,https://i.postimg.cc/BvnWrvrx/M108-BRK.jpg
M1104R-BR247,Beige,1  1/2 ,1  1/8 ,  7/8 ,16,152,N/A,https://i.postimg.cc/C5yQxMQr/M1104-R-BR247.jpg
M1104R-BR250,Walnut,1  1/2 ,1  1/8 ,  7/8 ,16,152,N/A,https://i.postimg.cc/Vk7ZbWhC/M1104-R-BR250.jpg
M1104R-BR251,Espresso,1  1/2 ,1  1/8 ,  7/8 ,16,152,N/A,https://i.postimg.cc/SNfvmh7V/M1104-R-BR251.jpg
