name,color,width,height,rabbet,pcs,ft,condition,img_url,category,mtype
L080-BK,Black,3  3/4 ,1 1/4,  1/2 ,12,114,closeout,https://i.postimg.cc/rwnsyDVV/L080-BK.jpg,Greater than 3 inches,L
L088-265,Silver,3  3/4 ,1  3/16,  1/2 ,12,114,closeout,https://i.postimg.cc/MZnnYppZ/L088-265-edit.jpg,Greater than 3 inches,L
L088-BK1,Black,3  3/4 ,1  3/16,  1/2 ,12,114,current,https://i.postimg.cc/yNZxSvNQ/L088-BK1.jpg,Greater than 3 inches,L
L090-1074,Gold,3,1  3/8 ,  1/2 ,12,114,closeout,https://i.postimg.cc/Bvj6jJbx/L090-1074.jpg,Between 2 and 3 inches,L
L090-3058,Burgundy,3,1  3/8 ,  1/2 ,12,114,current,https://i.postimg.cc/Vk5dzYPc/L090-3058.jpg,Greater than 3 inches,L
L090-5058,Black,3,1  3/8 ,  1/2 ,12,114,current,https://i.postimg.cc/YCVj9JtL/L090-5058.jpg,Greater than 3 inches,L
L090-6058,White,3,1  3/8 ,  1/2 ,12,114,closeout,https://i.postimg.cc/nc1M5dNQ/L090-6058.jpg,Between 2 and 3 inches,L
L1002-BK91,Black,4  1/4 ,1  1/4 ,  7/16,8,76,closeout,https://i.postimg.cc/xT91Kvqj/L1002-BK91.jpg,Greater than 3 inches,L
L1002-BK99,Black,4  1/4 ,1  1/4 ,  7/16,8,76,closeout,https://i.postimg.cc/Gm23fbkZ/L1002-BK99.jpg,Greater than 3 inches,L
L1002-BR216,Chestnut,4  1/4 ,1  1/4 ,  7/16,8,76,current,https://i.postimg.cc/jdSjhs5J/L1002-BR216.jpg,Greater than 3 inches,L
L1002-CR75,Black,4  1/4 ,1  1/4 ,  7/16,8,76,closeout,https://i.postimg.cc/Gm53w6K9/L1002-CR75.jpg,Greater than 3 inches,L
L1002-S269,Grey -Silver,4  1/4 ,1  1/4 ,  7/16,8,76,current,https://i.postimg.cc/MK3pPhM3/L1002-S269.jpg,Greater than 3 inches,L
L1003-BR216,Espresso,3  3/8 ,1,  3/8 ,12,114,current,https://i.postimg.cc/g2wkfN3z/L1003-BR216.jpg,Greater than 3 inches,L
L1003-G278,Gold,3  3/8 ,1,  3/8 ,12,114,current,https://i.postimg.cc/YCJqkYx1/L1003-G278.jpg,Greater than 3 inches,L
L1003-S278,Silver,3  3/8 ,1,  3/8 ,12,114,current,https://i.postimg.cc/QtqXpPZb/L1003-S278.jpg,Greater than 3 inches,L
L1003E-BK92,Charcoal,3  3/8 ,1,  3/8 ,12,114,closeout,https://i.postimg.cc/8581sWqS/L1003-E-BK92.jpg,Greater than 3 inches,L
L1003R-BK109,Black,3  3/8 ,1,  3/8 ,12,114,closeout,https://i.postimg.cc/XJwn5qby/L1003-R-BK109.jpg,Greater than 3 inches,L
L1003R-BR268,Grey,3  3/8 ,1,  3/8 ,12,114,current,https://i.postimg.cc/QM1NMC6v/L1003-R-BR268.jpg,Greater than 3 inches,L
L1003R-BR300,Burnt,3  3/8 ,1,  3/8 ,12,114,current,https://i.postimg.cc/wvzqRzZM/L1003-R-BR300.jpg,Greater than 3 inches,L
L1003R-BR309,Espresso,3  3/8 ,1,  3/8 ,12,114,closeout,https://i.postimg.cc/x1bcvzzt/L1003-R-BR309.jpg,Greater than 3 inches,L
L1003R-IV48,Ivory,3  3/8 ,1,  3/8 ,12,114,current,https://i.postimg.cc/1X5yMH9Z/L1003-R-IV48.jpg,Greater than 3 inches,L
L1006C-G94,Gold,3  1/4 ,1  3/4 ,  7/16,8,76,current,https://i.postimg.cc/g20vXhCn/1006-C-G94.jpg,Greater than 3 inches,L
L1006C-S94,Silver,3  1/4 ,1  3/4 ,  7/16 ,8,76,closeout,https://i.postimg.cc/sxRYvNzr/1006-C-S94.jpg,Greater than 3 inches,L
L108-BKS,Black/Silver,3 1/4,1 1/4,  1/2 ,10,95,closeout,https://i.postimg.cc/XY7X0f01/L108-BKS.jpg,Greater than 3 inches,L
L108-BRK,Black/Burgundy,3 1/4,1 1/4,  1/2 ,10,95,closeout,https://i.postimg.cc/0QmyCZpj/L108-BRK.jpg,Greater than 3 inches,L
L1101-BR229,Walnut,3  5/8 ,1  5/8 ,  3/8 ,8,76,current,https://i.postimg.cc/FzWN6LRk/L1101-BR229.jpg,Greater than 3 inches,L
L1101-BR230,Black,3  5/8 ,1  5/8 ,  3/8 ,8,76,closeout,https://i.postimg.cc/L5223S9Q/L1101-BR230.jpg,Greater than 3 inches,L
L1105ESC-BK,Black,3 15/16,1  5/8 ,1,6,57,current,https://i.postimg.cc/QN08CRbN/L1105-ESC-BK.jpg,Greater than 3 inches,L
L1105ESC-BR263,Bronze,3 15/16,1  5/8 ,1,6,57,closeout,https://i.postimg.cc/m2ZTcT6t/L1105-ESC-BR263.jpg,Greater than 3 inches,L
L1105SC-BK,Black,3 15/16,1  5/8 ,1,6,57,closeout,https://i.postimg.cc/6pyw0YKK/L1105-SC-BK.jpg,Greater than 3 inches,L
L1105SC-BR109,Espresso,3 15/16,1  5/8 ,1,6,57,closeout,https://i.postimg.cc/4N8sVjrw/L1105-SC-BR109.jpg,Greater than 3 inches,L
